# map seed success status cycles time_ms start_nodes goal_nodes path_nodes
# status: 0=PASS 1=TIMEOUT 2=X_PROPAGATION 3=PATH_CHECK_FAIL
5 63 1 0 322566 1.064467800 167 922 68
5 64 1 0 344787 1.137797100 260 251 66
5 65 1 0 569380 1.878954000 366 1523 74
5 66 1 0 393309 1.297919700 320 281 68
5 67 1 0 527063 1.739307900 433 742 67
5 68 1 0 461688 1.523570400 449 559 83
5 69 1 0 430007 1.419023100 388 205 67
5 70 1 0 314535 1.037965500 188 656 67
5 71 1 0 469772 1.550247600 400 609 72
5 72 1 0 463361 1.529091300 489 484 72
5 73 1 0 447949 1.478231700 446 904 83
5 74 1 0 344118 1.135589400 179 443 71
5 75 1 0 589424 1.945099200 830 1543 83
5 76 1 0 306213 1.010502900 323 475 62
5 77 1 0 362419 1.195982700 333 650 63
5 78 1 0 334615 1.104229500 251 221 79
5 79 1 0 386977 1.277024100 294 239 70
5 80 1 0 635543 2.097291900 984 2883 91
5 81 1 0 1045812 3.451179600 1288 2616 103
5 82 1 0 747913 2.468112900 658 3745 105
5 83 1 0 369030 1.217799000 280 303 73
5 84 1 0 539875 1.781587500 773 866 71
5 85 1 0 872963 2.880777900 1371 813 92
5 86 1 0 226990 0.749067000 165 138 62
5 87 1 0 380249 1.254821700 250 767 78
5 88 1 0 485120 1.600896000 425 1020 82
5 89 1 0 488837 1.613162100 501 537 80
5 90 1 0 622140 2.053062000 551 547 67
5 91 1 0 449891 1.484640300 514 406 73
6 42 1 0 558461 1.842921300 637 2023 71
6 43 1 0 642028 2.118692400 1346 1500 84
6 44 1 0 549534 1.813462200 915 1101 73
6 45 1 0 727190 2.399727000 1795 1941 92
6 46 1 0 684243 2.258001900 961 2663 80
6 47 1 0 707369 2.334317700 1409 3245 91
6 48 1 0 399807 1.319363100 685 765 87
6 49 1 0 494096 1.630516800 890 1313 98
6 50 1 0 382970 1.263801000 620 873 88
6 51 1 0 568019 1.874462700 815 1848 96
6 52 1 0 706917 2.332826100 2206 2410 87
6 53 1 0 745729 2.460905700 1165 4246 95
6 54 1 0 459718 1.517069400 368 1629 93
6 55 1 0 678843 2.240181900 814 3294 101
6 56 1 0 554122 1.828602600 922 1447 80
6 57 1 0 528643 1.744521900 971 1030 91
6 58 1 0 601203 1.983969900 1514 1619 67
6 59 1 0 651998 2.151593400 1157 1676 82
6 60 1 0 421630 1.391379000 519 1092 60
6 61 1 0 350549 1.156811700 344 790 75
6 62 1 0 414902 1.369176600 304 1069 68
6 63 1 0 608447 2.007875100 468 1974 76
6 64 1 0 518867 1.712261100 582 892 92
6 65 1 0 303683 1.002153900 301 510 69
6 66 1 0 712250 2.350425000 1472 2994 87
6 67 1 0 426571 1.407684300 462 1290 89
6 68 1 0 756503 2.496459900 1348 2425 113
6 69 1 0 631869 2.085167700 1320 2490 96
6 70 1 0 714278 2.357117400 787 1629 94
6 71 1 0 556291 1.835760300 817 886 72
6 72 1 0 529145 1.746178500 1193 1048 67
6 73 1 0 676852 2.233611600 1678 1355 89
6 74 1 0 703373 2.321130900 1797 2613 112
6 75 1 0 533812 1.761579600 838 1708 75
6 76 1 0 450298 1.485983400 700 1054 90
6 77 1 0 610430 2.014419000 924 2252 99
6 78 1 0 465510 1.536183000 551 1025 68
6 79 1 0 661874 2.184184200 1143 1634 91
6 80 1 0 497688 1.642370400 565 1457 89
6 81 1 0 434418 1.433579400 443 703 77
6 82 1 0 499668 1.648904400 1234 575 83
6 83 1 0 341758 1.127801400 614 307 66
6 84 1 0 602641 1.988715300 1315 2440 96
6 85 1 0 690971 2.280204300 1582 2266 114
6 86 1 0 319175 1.053277500 196 941 61
6 87 1 0 614452 2.027691600 746 1514 72
6 88 1 0 380559 1.255844700 294 710 53
6 89 1 0 565904 1.867483200 1124 1659 85
6 90 1 0 644822 2.127912600 850 3115 75
6 91 1 0 536486 1.770403800 828 1085 71
7 42 1 0 668897 2.207360100 1291 1770 76
7 43 1 0 724216 2.389912800 968 3164 89
7 44 1 0 556892 1.837743600 642 1012 87
7 45 1 0 414098 1.366523400 398 333 72
7 46 1 0 1082696 3.572896800 1314 2632 85
7 47 1 0 739270 2.439591000 1344 1624 81
7 48 1 0 658909 2.174399700 1907 1935 79
7 49 1 0 559261 1.845561300 1131 735 80
7 50 1 0 590403 1.948329900 1106 1630 90
7 51 1 0 471260 1.555158000 649 972 68
7 52 1 0 420738 1.388435400 597 601 77
7 53 1 0 622204 2.053273200 1175 635 75
7 54 1 0 620718 2.048369400 979 780 77
7 55 1 0 559839 1.847468700 711 1126 94
7 56 1 0 746185 2.462410500 1263 2001 89
7 57 1 0 534919 1.765232700 931 925 85
7 58 1 0 816222 2.693532600 793 2674 83
7 59 1 0 496848 1.639598400 731 1030 94
7 60 1 0 657789 2.170703700 1138 968 73
7 61 1 0 530168 1.749554400 733 871 82
7 62 1 0 608682 2.008650600 793 224 79
7 63 1 0 529489 1.747313700 378 426 80
7 64 1 0 677677 2.236334100 993 1850 63
7 65 1 0 612987 2.022857100 1205 1278 93
7 66 1 0 801118 2.643689400 1942 1924 83
7 67 1 0 909322 3.000762600 1961 2697 116
7 68 1 0 782907 2.583593100 1652 3330 88
7 69 1 0 449776 1.484260800 418 1112 69
7 70 1 0 603808 1.992566400 1259 1579 73
7 71 1 0 463125 1.528312500 338 1084 64
7 72 1 0 683397 2.255210100 1326 1904 78
7 73 1 0 595068 1.963724400 1679 2048 81
7 74 1 0 599758 1.979201400 819 2025 75
7 75 1 0 590470 1.948551000 734 1296 84
7 76 1 0 440026 1.452085800 1085 1219 78
7 77 1 0 587133 1.937538900 1415 1291 88
7 78 1 0 680176 2.244580800 1285 1834 91
7 79 1 0 495500 1.635150000 388 1146 77
7 80 1 0 637095 2.102413500 1861 1000 95
7 81 1 0 585824 1.933219200 476 1300 65
7 82 1 0 439526 1.450435800 592 1439 81
7 83 1 0 649653 2.143854900 1005 1975 84
7 84 1 0 438886 1.448323800 451 1367 89
7 85 1 0 744399 2.456516700 1417 2651 105
7 86 1 0 606815 2.002489500 418 2564 96
7 87 1 0 543550 1.793715000 941 761 67
